Software Testing Engineer,MTS-IT,Full Time
Title,CompanyName,JobTypeName
Maintenance Technician,CommuniCare Health,Full Time
Title,CompanyName,JobTypeName
"QA Engineer, Fintech",Optasia,Full Time
Title,CompanyName,JobTypeName
Senior Devops Engineer,Octane solutions,Full Time
Title,CompanyName,JobTypeName
"Software Engineer - Backend, Fintech",Optasia,Full Time
Title,CompanyName,JobTypeName
Senior Jasper Developer/Admin,FlairsTech,Full Time
Title,CompanyName,JobTypeName
IT Operation Team Lead,Caduceus Lane,Full Time
Title,CompanyName,JobTypeName
Quality Assurance Testing Engineer,Confidential,Full Time
Title,CompanyName,JobTypeName
System Administrator,Arabia for Information Technology,Full Time
Title,CompanyName,JobTypeName
IT Specialist,Confidential,Full Time
Title,CompanyName,JobTypeName
SAP system admin (SAP Business One),Asass,Full Time
Title,CompanyName,JobTypeName
IT Help Desk,Amer Vision Group,Full Time
Title,CompanyName,JobTypeName
Technical Writer,Millensys,Full Time
Title,CompanyName,JobTypeName
Senior Full Stack Developer (Angular / Java),Confidential,Full Time
Title,CompanyName,JobTypeName
Senior Full Stack Developer (Angular / Java),Confidential,Work From Home
Title,CompanyName,JobTypeName
System Administrator,Servmix,Full Time
Title,CompanyName,JobTypeName
ERP Implementer - Odoo,classera,Full Time
Title,CompanyName,JobTypeName
ERP Implementer - Odoo,classera,Work From Home
Title,CompanyName,JobTypeName
Full Stack Developer (.Net & Angular),GoodsMart,Full Time
Title,CompanyName,JobTypeName
Senior QA Engineer,Agolo Egypt,Full Time
Title,CompanyName,JobTypeName
Power BI Developer,eVision,Full Time
Title,CompanyName,JobTypeName
Android Developer,Confidential,Full Time
Title,CompanyName,JobTypeName
Integration Engineer,Obeikan Digital Solutions,Full Time
Title,CompanyName,JobTypeName
Backend PHP,Obeikan Digital Solutions,Full Time
Title,CompanyName,JobTypeName
Quality Control Engineer,Obeikan Digital Solutions,Full Time
Title,CompanyName,JobTypeName
Frontend Angular,Obeikan Digital Solutions,Full Time
Title,CompanyName,JobTypeName
Senior Full Stack Developer,Horizon Agency,Full Time
Title,CompanyName,JobTypeName
WordPress Developer,Horizon Agency,Full Time
Title,CompanyName,JobTypeName
Node JS Developer,Obeikan Digital Solutions,Full Time
Title,CompanyName,JobTypeName
Software Development Team Leader,Confidential,Full Time
Title,CompanyName,JobTypeName
.NET WEB DEVELOPER (Web Forms),Informatique Education,Full Time
Title,CompanyName,JobTypeName
Laravel Developer,Kyan Labs,Full Time
Title,CompanyName,JobTypeName
Senior Testing Engineer,Al Ahly Momkn for e-payment,Full Time
Title,CompanyName,JobTypeName
IT Help Desk,Confidential,Full Time
Title,CompanyName,JobTypeName
Partnership Manager,Confidential,Full Time
Title,CompanyName,JobTypeName
Cyber Security Engineer,Confidential,Full Time
Title,CompanyName,JobTypeName
Field Service Rep. I - Drilling Fluids,"Halliburton Energy Services, Inc.",Full Time
Title,CompanyName,JobTypeName
Sales Manager,ERP-Bank,Full Time
Title,CompanyName,JobTypeName
IT Support Agent - Jumia (Full Time),Jumia Technologies AG,Full Time
Title,CompanyName,JobTypeName
Finance Manager,Dentsu Inc,Full Time
Title,CompanyName,JobTypeName
Software QA Automation Engineer,Confidential,Full Time
Title,CompanyName,JobTypeName
Junior Web Developer (Back-End) - Alexandria,Arabic Localizer,Full Time
Title,CompanyName,JobTypeName
SAP FICO - TRM - COPA - FUND Consultant,Galaxy Consulting Solutions (G.C.S),Full Time
Title,CompanyName,JobTypeName
Oracle HCM Consultant,softprograms,Full Time
Title,CompanyName,JobTypeName
Senior Analyst - Accounting,S.C. Johnson & Son Inc,Full Time
Title,CompanyName,JobTypeName
Senior Financial Analyst,Merck Sharp & Dohme Corp,Full Time
Title,CompanyName,JobTypeName
Head of Presales - EG - EBS,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Technical Trainer,FlairsTech,Full Time
Title,CompanyName,JobTypeName
Application Developer-Java & Web Technologies,IBM WTC Egypt,Full Time
Title,CompanyName,JobTypeName
Head of Technical Delivery- Government Business Solutions,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Senior Python Developer,FlairsTech,Full Time
Title,CompanyName,JobTypeName
English Customer Support - PREMIUM,Sutherland,Full Time
Title,CompanyName,JobTypeName
Next JS developer,Sceel.io,Full Time
Title,CompanyName,JobTypeName
En Ar Reviewer,BayanTech,Full Time
Title,CompanyName,JobTypeName
Localization Project Manager,BayanTech,Full Time
Title,CompanyName,JobTypeName
Offshore Team Leader (Call Center - Dispatching),BayanTech,Full Time
Title,CompanyName,JobTypeName
Quality Assurance Executive (data analysis- internal auditing),BayanTech,Full Time
Title,CompanyName,JobTypeName
Project Manager (Hybrid),BayanTech,Full Time
Title,CompanyName,JobTypeName
UI/UX Web Designer,Nile Creations,Full Time
Title,CompanyName,JobTypeName
iOS Developer,34ML,Full Time
Title,CompanyName,JobTypeName
VueJS Frontend Developer,34ML,Full Time
Title,CompanyName,JobTypeName
Software Quality Control Specialist,Arabia for Information Technology,Full Time
Title,CompanyName,JobTypeName
Product Owner,QARA,Full Time
Title,CompanyName,JobTypeName
Hardware Design Engineer,idaco,Full Time
Title,CompanyName,JobTypeName
flutter developer,idaco,Full Time
Title,CompanyName,JobTypeName
Product Specialist (Tourism Field),Bevatel,Full Time
Title,CompanyName,JobTypeName
Business Analyst,WSC,Full Time
Title,CompanyName,JobTypeName
Senior Civil Engineer (Menoufia),Elaraby Group,Full Time
Title,CompanyName,JobTypeName
Senior Civil Engineer (Katameya),Elaraby Group,Full Time
Title,CompanyName,JobTypeName
Software Project Manager,Asset Technology Group,Full Time
Title,CompanyName,JobTypeName
Developer Analyst,Confidential,Full Time
Title,CompanyName,JobTypeName
Senior Quality Assurance Testers,Al Ahly capital holding - Al Ahly Tamkeen,Full Time
Title,CompanyName,JobTypeName
"Vendor Consultant, Spanish",Amazon MENA,Full Time
Title,CompanyName,JobTypeName
Drupal Developer,WSC,Full Time
Title,CompanyName,JobTypeName
System Admin,BayanTech,Full Time
Title,CompanyName,JobTypeName
Backend Developer .Net,WSC,Full Time
Title,CompanyName,JobTypeName
Senior Android Developer,YOUXEl Technology,Full Time
Title,CompanyName,JobTypeName
Senior Android Developer,YOUXEl Technology,Work From Home
Title,CompanyName,JobTypeName
Technical Support Engineer - German Speaker,TechJump,Full Time
Title,CompanyName,JobTypeName
Technical Support Engineer - German Speaker,TechJump,Work From Home
Title,CompanyName,JobTypeName
Quality Assurance Tester,Al Ahly capital holding - Al Ahly Tamkeen,Full Time
Title,CompanyName,JobTypeName
Senior Odoo Developer,ITSS,Full Time
Title,CompanyName,JobTypeName
Technical Recruiter,Dimofinf Operations Center,Full Time
Title,CompanyName,JobTypeName
Consultant,Robiquity,Full Time
Title,CompanyName,JobTypeName
Associate Consultant,Robiquity,Full Time
Title,CompanyName,JobTypeName
SR. JAVA (ADF) Developer,egabi solutions,Full Time
Title,CompanyName,JobTypeName
Oracle EBS Financial Consultant,softprograms,Full Time
Title,CompanyName,JobTypeName
Oracle ADF Developer,Confidential,Full Time
Title,CompanyName,JobTypeName
Internal Audit Supervisor,Confidential,Full Time
Title,CompanyName,JobTypeName
Senior Civil Engineer (Luxor),Elaraby Group,Full Time
Title,CompanyName,JobTypeName
Front End Developer,Erpplus5,Full Time
Title,CompanyName,JobTypeName
Business Analyst,Erpplus5,Full Time
Title,CompanyName,JobTypeName
Software Quality Control and Tester,Erpplus5,Full Time
Title,CompanyName,JobTypeName
Software Tester,Confidential,Part Time
Title,CompanyName,JobTypeName
Senior Python / Docker / Flask developer,GetTechForce.com,Full Time
Title,CompanyName,JobTypeName
Senior Python / Docker / Flask developer,GetTechForce.com,Work From Home
Title,CompanyName,JobTypeName
Senior Full Stack Developer,GetTechForce.com,Full Time
Title,CompanyName,JobTypeName
Senior Full Stack Developer,GetTechForce.com,Work From Home
Title,CompanyName,JobTypeName
Senior Data Engineer - Remote,GetTechForce.com,Work From Home
Title,CompanyName,JobTypeName
HR Manager,Confidential,Full Time
Title,CompanyName,JobTypeName
Information Security Engineer,Easy Cash,Full Time
Title,CompanyName,JobTypeName
Test Specialist:Middleware,IBM WTC Egypt,Full Time
Title,CompanyName,JobTypeName
Technical Lead,LINK TSP,Full Time
Title,CompanyName,JobTypeName
Hybris backend Developer,Efada Technology,Full Time
Title,CompanyName,JobTypeName
App and Web developer,MFG,Full Time
Title,CompanyName,JobTypeName
App and Web developer,MFG,Part Time
Title,CompanyName,JobTypeName
Project Manager,LINK TSP,Full Time
Title,CompanyName,JobTypeName
IT Help Desk,MedVAlley S.A.E,Full Time
Title,CompanyName,JobTypeName
IT Help Desk,MedVAlley S.A.E,Shift Based
Title,CompanyName,JobTypeName
Senior Backend Node.js Developer - Mongo DB,QARA,Full Time
Title,CompanyName,JobTypeName
System Administrator,MedVAlley S.A.E,Full Time
Title,CompanyName,JobTypeName
System Administrator,MedVAlley S.A.E,Shift Based
Title,CompanyName,JobTypeName
Tele sales Team Leader - Brokerage,Mubasher,Full Time
Title,CompanyName,JobTypeName
IT Administrator,Trans World Trading,Full Time
Title,CompanyName,JobTypeName
Full Stack Team Lead .Net & Angular,ICIS,Full Time
Title,CompanyName,JobTypeName
IT Technical Support,Enable,Full Time
Title,CompanyName,JobTypeName
System Analyst,Confidential,Full Time
Title,CompanyName,JobTypeName
SAP FICO Consultant,Nahdet Misr Publishing Group,Full Time
Title,CompanyName,JobTypeName
Project Coordinator,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Senior Communication Engineer - Transmission,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Java Full Stack Developer,Dedalus,Full Time
Title,CompanyName,JobTypeName
.NET WPF Developer,Premier Services and Recruitment,Full Time
Title,CompanyName,JobTypeName
.Net React Full-stack Developer,Premier Services and Recruitment,Full Time
Title,CompanyName,JobTypeName
.Net Test Analyst,Premier Services and Recruitment,Full Time
Title,CompanyName,JobTypeName
Senior Drupal Developer,K Line Europe,Full Time
Title,CompanyName,JobTypeName
Senior Drupal Developer,K Line Europe,Work From Home
Title,CompanyName,JobTypeName
Senior Technical Recruiter,Link Datacenter,Full Time
Title,CompanyName,JobTypeName
Product designer Ui UX,etmana,Full Time
Title,CompanyName,JobTypeName
Senior Java Developer,WSC,Full Time
Title,CompanyName,JobTypeName
Selenium Automation Tester,Yespays,Full Time
Title,CompanyName,JobTypeName
Selenium Automation Tester,Yespays,Part Time
Title,CompanyName,JobTypeName
Junior IT Help Desk,Nacita,Full Time
Title,CompanyName,JobTypeName
IT System Admin,Delta Egypt For Lighting,Full Time
Title,CompanyName,JobTypeName
Site Engineer,Kandeel Group,Full Time
Title,CompanyName,JobTypeName
Virtual Project Management Internship,Qureos,Full Time
Title,CompanyName,JobTypeName
IT Manager,Confidential,Full Time
Title,CompanyName,JobTypeName
Product Manager,Bydotpy,Full Time
Title,CompanyName,JobTypeName
Java Developer,Skarpt Company,Full Time
Title,CompanyName,JobTypeName
IT Digital Transformation Manager,Confidential,Full Time
Title,CompanyName,JobTypeName
Technical Operations Engineer,Cashcall,Full Time
Title,CompanyName,JobTypeName
IOT Developer,Skarpt Company,Full Time
Title,CompanyName,JobTypeName
Senior Infrastructure Engineer,Lumin,Full Time
Title,CompanyName,JobTypeName
Senior NET Developer,SSC Egypt,Work From Home
Title,CompanyName,JobTypeName
Customer Support Representative,International Advanced,Full Time
Title,CompanyName,JobTypeName
JR_IT Support,ENOVA Facilities Management,Full Time
Title,CompanyName,JobTypeName
Senior Business Analyst,Confidential,Full Time
Title,CompanyName,JobTypeName
"Full Stack developer (ASP.NET Core, Angular 9+)",Confidential,Full Time
Title,CompanyName,JobTypeName
"Full Stack developer (ASP.NET Core, Angular 9+)",Confidential,Part Time
Title,CompanyName,JobTypeName
Senior Backend Developer (.NET Core),Confidential,Full Time
Title,CompanyName,JobTypeName
Front End Developer,WSC,Full Time
Title,CompanyName,JobTypeName
React Native UI Software Engineer,Callvita,Full Time
Title,CompanyName,JobTypeName
Full Stack Software Engineer,Callvita,Full Time
Title,CompanyName,JobTypeName
Wordpress Developer,New Energy EV,Full Time
Title,CompanyName,JobTypeName
Wordpress Developer,New Energy EV,Freelance / Project
Title,CompanyName,JobTypeName
Wordpress Developer,New Energy EV,Work From Home
Title,CompanyName,JobTypeName
Business Analyst,Informatique Education,Full Time
Title,CompanyName,JobTypeName
project manager,Informatique Education,Full Time
Title,CompanyName,JobTypeName
Senior Business Intelligence Specialist,Tawzef,Full Time
Title,CompanyName,JobTypeName
Senior Software Engineer,Bevatel,Full Time
Title,CompanyName,JobTypeName
Technical Support Engineer,Wicresoft,Full Time
Title,CompanyName,JobTypeName
Software Sales Representative/Manager,Airpoint,Full Time
Title,CompanyName,JobTypeName
Digital Marketing Manager,Fixed Solutions,Full Time
Title,CompanyName,JobTypeName
Sales Account Manager,RDI,Full Time
Title,CompanyName,JobTypeName
SAP SD Consultant,Alromansiah,Full Time
Title,CompanyName,JobTypeName
Devops Engineer,eVision,Full Time
Title,CompanyName,JobTypeName
Junior Backend Developer,Travolic.LLc,Full Time
Title,CompanyName,JobTypeName
Technical Support Specialist,Zewail City,Full Time
Title,CompanyName,JobTypeName
Student Information System (SIS) Specialist,Zewail City,Full Time
Title,CompanyName,JobTypeName
Senior Backend PHP Developer,BeConnected,Full Time
Title,CompanyName,JobTypeName
Software Senior Sales Representative,Simple Touch Software,Full Time
Title,CompanyName,JobTypeName
Sales Account Manager - Fintech,Lumin,Full Time
Title,CompanyName,JobTypeName
Test Specialist,IBM WTC Egypt,Full Time
Title,CompanyName,JobTypeName
Senior React Native Developer,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Senior Aris Developer,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Presales Manager - Enterprise Business Solutions,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Computer Science & Computer Engineering Fresh Graduates,Confidential,Full Time
Title,CompanyName,JobTypeName
Junior Software Engineer,MegaSoft,Full Time
Title,CompanyName,JobTypeName
Senior Administrative Assistant,Poverty Action Lab,Full Time
Title,CompanyName,JobTypeName
"Cash Management Accountant Suez, Egypt Posted on 10/22/2023",Cargoes,Full Time
Title,CompanyName,JobTypeName
Project Manager - Data Networks (ICT),SABA,Full Time
Title,CompanyName,JobTypeName
Graphic Designer,Ejada,Full Time
Title,CompanyName,JobTypeName
Front End Team Lead,Sarmady,Full Time
Title,CompanyName,JobTypeName
Senior Front-End Developer,Sarmady,Full Time
Title,CompanyName,JobTypeName
Business Analyst - Supply Chain Business Control,Heineken,Full Time
Title,CompanyName,JobTypeName
Senior Pega Developer,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Senior Full Stack Developer (on-site),Union Coop,Full Time
Title,CompanyName,JobTypeName
Senior Java Developer,Algoriza,Full Time
Title,CompanyName,JobTypeName
Technical SME Engineer,Algoriza,Full Time
Title,CompanyName,JobTypeName
Senior ERP Project Manager,Azdan Business Analytics,Full Time
Title,CompanyName,JobTypeName
Application Support Engineer,BI-Technologies,Full Time
Title,CompanyName,JobTypeName
Senior Full Stack Developer .Net + Angular,ICIS,Full Time
Title,CompanyName,JobTypeName
Genesys Engineer,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
IT Manager,Nacita,Full Time
Title,CompanyName,JobTypeName
Product Manager,Trufla,Full Time
Title,CompanyName,JobTypeName
Full Stack Developer,Confidential,Full Time
Title,CompanyName,JobTypeName
Senior Oracle Technical Developer,Samcrete Engineers & contractors,Full Time
Title,CompanyName,JobTypeName
Flutter Developer,Osolutions,Full Time
Title,CompanyName,JobTypeName
Senior Flutter Developer,Victory Link,Full Time
Title,CompanyName,JobTypeName
SAP HCM Consultant/ SF,Netcompay- Intrasoft,Full Time
Title,CompanyName,JobTypeName
Front End Developer,Smart Cards application,Full Time
Title,CompanyName,JobTypeName
Full-Stack Java Developer (Java &Angular),CrossWorkers,Full Time
Title,CompanyName,JobTypeName
Senior Software Business Analyst,Trufla,Full Time
Title,CompanyName,JobTypeName
Senior Talend Architect,Sceel.io,Full Time
Title,CompanyName,JobTypeName
Data Solution Architect,Sceel.io,Full Time
Title,CompanyName,JobTypeName
IT Responsible,Confidential,Full Time
Title,CompanyName,JobTypeName
Data Management Consultant,Sceel.io,Full Time
Title,CompanyName,JobTypeName
UI UX Designer,CyberX,Full Time
Title,CompanyName,JobTypeName
Unity Game Developer 3D,CyberX,Full Time
Title,CompanyName,JobTypeName
Application Support Engineer,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
Monitoring Assistant SC,World Food Program - Other locations,Full Time
Title,CompanyName,JobTypeName
Scrum Master,Expert Apps,Full Time
Title,CompanyName,JobTypeName
Senior Systems Engineer,FinBi Finance & Banking Consultants International,Full Time
Title,CompanyName,JobTypeName
Business Developer,Our Education,Full Time
Title,CompanyName,JobTypeName
Senior Technical Support,FinBi Finance & Banking Consultants International,Full Time
Title,CompanyName,JobTypeName
Senior Network security engineer,FinBi Finance & Banking Consultants International,Full Time
Title,CompanyName,JobTypeName
SaaS Product Manager,Bevatel,Full Time
Title,CompanyName,JobTypeName
Finance Manager,Aswaq,Full Time
Title,CompanyName,JobTypeName
Full-Stack .NET Web Developer,Nahr Development,Full Time
Title,CompanyName,JobTypeName
Senior Full Stack Developer,EGID company,Full Time
Title,CompanyName,JobTypeName
IT Support Engineer,Al-Meshka,Part Time
Title,CompanyName,JobTypeName
Senior React Frontend Developer,Confidential,Full Time
Title,CompanyName,JobTypeName
Senior React Frontend Developer,Confidential,Work From Home
Title,CompanyName,JobTypeName
Senior PHP Developer,International Advanced,Full Time
Title,CompanyName,JobTypeName
Product Owner,waffarha.com,Full Time
Title,CompanyName,JobTypeName
Sr. Full-Stack Mobile Developer,TREX,Full Time
Title,CompanyName,JobTypeName
Technical Application Consultant\Support,BSmart,Full Time
Title,CompanyName,JobTypeName
SCM Consultant,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
HCM Consultant,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
Senior Financial Consultant,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
CVM Application Engineer,eT3 - Tomorrow Information Technology,Full Time
Title,CompanyName,JobTypeName
Odoo Developer,AK IT Consulting,Full Time
Title,CompanyName,JobTypeName
Oracle Apps Technical Consultant,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
Solution Architect,eT3 - Tomorrow Information Technology,Full Time
Title,CompanyName,JobTypeName
Database Administrator,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
Test Specialist - Data,eT3 - Tomorrow Information Technology,Full Time
Title,CompanyName,JobTypeName
Strategic planning Manager,Nile University,Full Time
Title,CompanyName,JobTypeName
Strategic planning Specialist,Nile University,Full Time
Title,CompanyName,JobTypeName
Oracle EBS Senior Techno Consultant,Confidential,Full Time
Title,CompanyName,JobTypeName
Front End Developer (React.js),Dexef,Freelance / Project
Title,CompanyName,JobTypeName
Front End Developer (React.js),Dexef,Work From Home
Title,CompanyName,JobTypeName
Senior Software Developer (C#),Confidential,Work From Home
Title,CompanyName,JobTypeName
Senior PHP Developer,Casita,Full Time
Title,CompanyName,JobTypeName
IT Manager,Noases,Full Time
Title,CompanyName,JobTypeName
Integration Engineer - MENA,FinTech Collective,Full Time
Title,CompanyName,JobTypeName
Dot Net Lead - Backend - Egypt,Antal International - Egypt,Full Time
Title,CompanyName,JobTypeName
IT Specialist,Tie House,Full Time
Title,CompanyName,JobTypeName
Senior Front-end position,Edentech,Full Time
Title,CompanyName,JobTypeName
Remote RTS for Lenovo Products – French Speaking,IBM WTC Egypt,Full Time
Title,CompanyName,JobTypeName
Remote RTS for Lenovo Products – French Speaking,IBM WTC Egypt,Work From Home
Title,CompanyName,JobTypeName
Full Stack Web Developer,IQRA Network,Full Time
Title,CompanyName,JobTypeName
Full Stack Web Developer,IQRA Network,Work From Home
Title,CompanyName,JobTypeName
IT Specialist,Engosoft,Full Time
Title,CompanyName,JobTypeName
Integration Engineer - MENA,CRE Venture Capital,Full Time
Title,CompanyName,JobTypeName
Senior Presales Consultant - RS,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Chief Executive Officer,Antal International - Egypt,Full Time
Title,CompanyName,JobTypeName
Technical Project Manager (ACS-CSS),Oracle - Egypt,Full Time
Title,CompanyName,JobTypeName
PHP Developer Internship - Remote,Elev8Assessments,Internship
Title,CompanyName,JobTypeName
Flutter Developer,Horizon Agency,Full Time
Title,CompanyName,JobTypeName
Front End Developer,Horizon Agency,Full Time
Title,CompanyName,JobTypeName
Back End Developer (PHP),Horizon Agency,Full Time
Title,CompanyName,JobTypeName
Senior Data Architect/Modeler,eT3 - Tomorrow Information Technology,Full Time
Title,CompanyName,JobTypeName
Program Developer,Carpet Land,Full Time
Title,CompanyName,JobTypeName
Technical Lead (Full-Stack\.Net Core & Angluar),Link Datacenter,Full Time
Title,CompanyName,JobTypeName
Senior .NET Developer,GET Group- Egypt,Full Time
Title,CompanyName,JobTypeName
Senior Full Stack Developer (.Net & Angular 14+),Link Datacenter,Full Time
Title,CompanyName,JobTypeName
Presales Engineer,Al Ahly Momkn for e-payment,Full Time
Title,CompanyName,JobTypeName
Software Tester,Charisma Design,Full Time
Title,CompanyName,JobTypeName
Senior Odoo Implementer,Premier Services and Recruitment,Full Time
Title,CompanyName,JobTypeName
SAP HCM Support Consultant,LABS,Full Time
Title,CompanyName,JobTypeName
SAP HCM Support Consultant,LABS,Work From Home
Title,CompanyName,JobTypeName
Salesforce Senior Developer,Confidential,Full Time
Title,CompanyName,JobTypeName
Specialist BI Developer - Team Lead,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Business Analyst,DXC.technology,Full Time
Title,CompanyName,JobTypeName
Senior Systems Engineer,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Group ICT Business Applications Section Head,Decorative Glass And Arab Union Glass Group,Full Time
Title,CompanyName,JobTypeName
Senior Solution Architect - Billing,IST Networks,Full Time
Title,CompanyName,JobTypeName
E2E Solution Architect,IST Networks,Full Time
Title,CompanyName,JobTypeName
"Light Current Systems, Site Engineer",Anzma tech,Full Time
Title,CompanyName,JobTypeName
Sr. Solution Architect - Business CRM,IST Networks,Full Time
Title,CompanyName,JobTypeName
Solution Architect - AI,IST Networks,Full Time
Title,CompanyName,JobTypeName
Senior Developer - Full Stack,IST Networks,Full Time
Title,CompanyName,JobTypeName
Odoo Functional Consultant,Superior Business Solutions,Full Time
Title,CompanyName,JobTypeName
Software Tester,Horizon Agency,Full Time
Title,CompanyName,JobTypeName
Business Analyst,DX Republic,Full Time
Title,CompanyName,JobTypeName
Senior Hardware support,As-Salam International Hospital,Full Time
Title,CompanyName,JobTypeName
Software Tester,Confidential,Part Time
Title,CompanyName,JobTypeName
Software Tester,Confidential,Work From Home
Title,CompanyName,JobTypeName
Senior Full Stack Developer (.Net Core - MVC),Dynamicslink,Full Time
Title,CompanyName,JobTypeName
Odoo Developer Team Leader,Centione,Full Time
Title,CompanyName,JobTypeName
Back End Lead - .Net + Python OR Node,Confidential,Full Time
Title,CompanyName,JobTypeName
Software Tester - Alexandria,Finiex Soft,Full Time
Title,CompanyName,JobTypeName
Senior React Native Developer,Algoriza,Full Time
Title,CompanyName,JobTypeName
Database Administrator,ITS,Full Time
Title,CompanyName,JobTypeName
Apex Developer,Dorra Group,Full Time
Title,CompanyName,JobTypeName
Senior QA testing / Software Company,Outservingplus,Freelance / Project
Title,CompanyName,JobTypeName
UX Designer,Outservingplus,Freelance / Project
Title,CompanyName,JobTypeName
Technical Writer,Nahdet Misr Publishing Group,Part Time
Title,CompanyName,JobTypeName
Technical Writer,Nahdet Misr Publishing Group,Freelance / Project
Title,CompanyName,JobTypeName
Engineering Manager,Jumia,Full Time
Title,CompanyName,JobTypeName
Java Software Engineer,Jumia,Full Time
Title,CompanyName,JobTypeName
Senior Golang Software Engineer,Jumia,Full Time
Title,CompanyName,JobTypeName
Ideal Hours for Nanny Job w/ 1 Baby,"White House Nannies, Inc.",Full Time
Title,CompanyName,JobTypeName
Project Manager,DXC.technology,Full Time
Title,CompanyName,JobTypeName
Security Infrastructure Engineer,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Junior IOS Developer,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
Junior Andriod Developer,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
Senior Android Developer,Perfect Presentation,Full Time
Title,CompanyName,JobTypeName
Technical Support,Qsource,Full Time
Title,CompanyName,JobTypeName
IT Help Desk Specialist,Confidential,Full Time
Title,CompanyName,JobTypeName
Inside Sales Representatives & Team Leader,Mubasher,Full Time
Title,CompanyName,JobTypeName
Oracle EPM Senior Consultant-Planning,Azdan Business Analytics,Full Time
Title,CompanyName,JobTypeName
Senior Oracle Apps Functional Consultant,Al Ahly capital holding - Al Ahly Tamkeen,Full Time
Title,CompanyName,JobTypeName
Cybersecurity Operations Engineer,Giza Arabia Systems,Full Time
Title,CompanyName,JobTypeName
Service Operator I-Testing Tools,"Halliburton Energy Services, Inc.",Full Time
Title,CompanyName,JobTypeName
Java Instructor,MICA,Full Time
Title,CompanyName,JobTypeName
Maintenance Coordinator (Facilities Coordinator),Kode Clubs - Hassan Allam Sports Clubs,Full Time
Title,CompanyName,JobTypeName
Software Developer,HITS Solutions,Full Time
Title,CompanyName,JobTypeName
