CompanyName,Title,MinSalary,MaxSalary,EducationLevel,JobDescription,CareerLevel,Experience,NumOfVacancies,PostingDate,Address,City
Informatique Education,Senior Front End Developer,0,0,Bachelor'S Degree,Designing- developing- and testing UI for mobile and web applications Build reusable code and libraries for future use Accurately translate user and business needs into functional frontend code,Experienced (Non-Manager),More Than 5 Years,2,2023-10-30 16:14:00,,Cairo
3D Diagnostix,Senior Back-End Developer (Node Js),0,0,Bachelor'S Degree,Responsibilities and duties: Designs modify- develops- writes- and implements software programming applications Supports and/or installs software applications Diagnoses issues in software applications and environments Participates in the testing process through test review and analysis- test witnessing- and certification of software Interacts with colleagues and/or partners through a variety of mediums to provide support and understand the needs Develops various tools and customizations within the core product and increase day-to-day efficiency Maintains infrastructure to ensure smooth operations,Experienced (Non-Manager),2 To 5 Years,1,2023-10-30 16:14:00,Maadi,Cairo
Confidential,IT Help Desk,0,0,Not Specified,. Provides support and assistance to all plant disciplines in the areas of computer hardware and computer software. . Assists in setting up computer hardware and software at the plant site. . Trouble-shoots hardware and software problems. . Develops and maintains computer programs- as required. . Recommends hardware configurations to the Management to satisfy future needs. . Provides consultation to plant personnel in the areas of hardware and software. . Conducts training programs to familiarize plant personnel with computers. . Resolves connectivity issues with network providers.,Entry Level (Junior Level / Fresh Grad),0 To 1 Year,1,2023-10-30 16:14:00,,Suez
conveyou,Junior Application tester and quality control,0,0,Not Specified,Review and analyze system specifications Collaborate with QA Engineers to develop effective strategies and test plans Execute test cases (manual or automated) and analyze results Evaluate product code according to specifications Create logs to document testing phases and defects Report bugs and errors to development teams Help troubleshoot issues Conduct post-release/ post-implementation testing Work with cross-functional teams to ensure quality throughout the software development lifecycle,Experienced (Non-Manager),2 To 5 Years,1,2023-10-30 16:14:00,,Cairo
etmana,Senior Front End Developer Angular,0,0,Not Specified,Etmana is hiring a Senior Front End Developer ( Angular) #Angular #teamleader #immidiatehiring  Job Description Design and develop Front-End (Angular) technologies. IS A MUST Work with a cross-functional- full-stack development team and had prior experience building cross-platform- responsive- high-performing user interfaces for web applications. Design and developing applications for a clustered or distributed environment Bring new ideas to the table to help make our environment better. Be constantly experimenting. Design and develop scalable web applications using open source technologies Develop responsive web application using HTML5- CSS- and Javascript- and associated Javascript frameworks- for desktop- tablet- and mobile platforms Work with UX Designers- Architects- and other Developers to implement full stack web and mobile solutions Creating efficient- scalable web interfaces.   ,Experienced (Non-Manager),3 To 5 Years,1,2023-10-30 16:14:00,Katameya,Cairo
VAS Integrated Solutions,Cloud Architect,0,0,Not Specified,Design- develop- and deploy scalable and highly available cloud solutions on AWS and Alibaba Cloud platforms. Design- develop- and deploy scalable and highly available cloud solutions on AWS and Alibaba Cloud platforms. Architect- implement- and manage cloud infrastructure- ensuring security- compliance- and best practices. Collaborate with cross-functional teams to gather requirements- assess needs- and develop robust cloud solutions. Provide expertise in cloud technologies- keeping abreast of industry trends and emerging technologies. Conduct thorough evaluations of existing systems- applications- and processes to identify areas for improvement and optimization. Develop and maintain comprehensive documentation for cloud architecture- configurations- and processes. Actively participate in troubleshooting and issue resolution related to cloud infrastructure. Stay informed about the latest cloud security threats and best practices to ensure a secure cloud environment.,Not Specified,Not Specified,1,2023-10-30 16:14:00,,Cairo
Raya Holding for Financial Investments,Senior Engineer (Customer Services),0,0,Not Specified,You are about to apply for a job in a certified Top Employer 2023! Ready to be part of one of the Market Leaders in Egypt? Apply now! Raya Information Technology: one of Raya’s subsidiaries is hiring Engineer (customer services):   What will you do? Report daily activities to CS TL/ CS SV and service helpdesk Respond to customers’ calls and fix them based on agreed upon quality standards and customers’ SLAs. Perform new ATM installations- ATM staging or sites inspection and other planned preventive maintenance visits Assist Customers in regards to (training- phone support- onsite support- …..) Close effectively his calls on incidents management system  Keep and maintain all his HW & SW tools in a healthy condition and keep reporting continuously the cases of tools failure or any extra tools needed to his Senior / Team leader Provide 2nd level support for team & customers,Not Specified,Not Specified,1,2023-10-30 16:14:00,,Cairo
Olivery,Technical Support Engineer,15000,25000,Not Specified,Job Title: Technical Support / Operation Officer Company: Olivery Location: Cairo- Egypt  Job Summary: As a Technical Support specialist at Olivery- you will play a crucial role in assisting clients with technical issues and ensuring their smooth experience with our platform. You will provide prompt and effective support- troubleshoot problems- and offer solutions to address customer needs. The ideal candidate should have a strong technical background- excellent communication skills- and a customer-oriented mindset.  Responsibilities: 1. Provide first-level technical support to customers via phone- email- or chat- resolving their inquiries and issues in a timely manner. 2. Guide customers through troubleshooting steps and offer clear instructions to resolve technical problems. 3. Document customer interactions- including problem descriptions- troubleshooting steps taken- and solutions provided. 4. Collaborate with the development and operations teams to escalate complex issues and follow up on problem resolutions. 5. Contribute to the creation and maintenance of knowledge base articles- FAQs- and support documentation. 6. Ensure customer satisfaction by delivering exceptional service and maintaining a high level of professionalism. 7. Stay up to date with product updates and enhancements to effectively assist customers.,Experienced (Non-Manager),2 To 6 Years,1,2023-10-30 16:14:00,,Cairo
Confidential,Second Line Support and Network & Data Engineer.,0,0,Bachelor'S Degree,·  Provide technical support to users of IT services our corporate ·  Assist users with problems related to computer and communications services- including operating systems- local area network (LAN) services and various applications packages ·  Gather data and perform diagnostic techniques to help identify solutions to problems ·  Monitor the resolution of users' problems; expedite problem resolution efforts and coordinate with vendors and other technicians to resolve problems with telecommunication services- computer hardware- software and procedures ·  Serve as a principal point of contact for resolving user questions or problems concerning IT automation systems- software and/or hardware problems- password violations- and telecommunications trouble and work orders. ·  Determine the exact nature of the problem (e.g.- routine- non-routine- user error- faulty data lines- equipment malfunctions- software malfunctions- etc.) in order to provide or assist technicians- specialists and users with solutions to problems- and if you can’t solve it escalate to second line support ·  Collect information from callers to be used in the troubleshooting and workstation and/or printer services. ·  Performs other duties as assigned.   ,Experienced (Non-Manager),5 To 7 Years,1,2023-10-30 16:14:00,Obour City,Cairo
Confidential,Second Line Support and Systems & Security Engineer.,0,0,Bachelor'S Degree,·  Provide technical support to users of IT services our corporate ·  Assist users with problems related to computer and communications services- including operating systems- local area network (LAN) services and various applications packages ·  Gather data and perform diagnostic techniques to help identify solutions to problems ·  Monitor the resolution of users' problems; expedite problem resolution efforts and coordinate with vendors and other technicians to resolve problems with telecommunication services- computer hardware- software and procedures ·  Serve as a principal point of contact for resolving user questions or problems concerning IT automation systems- software and/or hardware problems- password violations- and telecommunications trouble and work orders. ·  Determine the exact nature of the problem (e.g.- routine- non-routine- user error- faulty data lines- equipment malfunctions- software malfunctions- etc.) in order to provide or assist technicians- specialists and users with solutions to problems- and if you can’t solve it escalate to second line support ·  Collect information from callers to be used in the troubleshooting and workstation and/or printer services. ·  Performs other duties as assigned.   ,Experienced (Non-Manager),5 To 7 Years,1,2023-10-30 16:14:00,Obour City,Cairo
3S Software,Business Analyst,0,0,Bachelor'S Degree,Performing requirements analysis. Evaluating business processes- anticipating requirements- uncovering areas for improvement- and developing and implementing solutions. Leading ongoing reviews of business processes and developing optimization strategies. Staying up-to-date on the latest process and IT advancements to automate and modernize systems. Conducting meetings and presentations to share ideas and findings. Documenting and communicating the results of your efforts. Effectively communicating your insights and plans to cross-functional team members and management. Gathering critical information from meetings with various stakeholders and producing useful reports. Working closely with clients- technicians- and managerial staff. Ensuring solutions meet business needs and requirements. Participate in user acceptance testing. Updating- implementing- and maintaining procedures. Prioritizing initiatives based on business needs and requirements. Serving as a liaison between stakeholders and users. Monitoring deliverables and ensuring timely completion of project's milestones.   ,Experienced (Non-Manager),More Than 2 Years,1,2023-10-30 16:14:00,Nasr City,Cairo
Confidential,Help Desk Engineer.,0,0,Bachelor'S Degree,Provide technical support to users of IT services our corporate Assist users with problems related to computer and communications services- including operating systems- local area network (LAN) services- and various applications packages Gather data and perform diagnostic techniques to help identify solutions to problems Monitor the resolution of users' problems; expedite problem resolution efforts and coordinate with vendors and other technicians to resolve problems with telecommunication services- computer hardware- software- and procedures Serve as a principal point of contact for resolving user questions or problems concerning IT automation systems- software and/or hardware problems- password violations- and telecommunications trouble and work orders. Determine the exact nature of the problem (e.g.- routine- non-routine- user error- faulty data lines- equipment malfunctions- software malfunctions- etc.) in order to provide or assist technicians- specialists- and users with solutions to problems- and if you can’t solve it escalate to second line support Collect information from callers to be used in the troubleshooting and workstation and/or printer services. Performs other duties as assigned.,Experienced (Non-Manager),2 To 4 Years,3,2023-10-30 16:14:00,Obour City,Cairo
Alexandria Business Association- SMEs Project,Information & Network security Engineer,0,0,Not Specified,BS degree in Engineering- Information Technology or equivalent. Strong understanding of networking (TCP/IP -common network traffic- network protocols- LAN- WAN) CCNA certified preferred. Strong knowledge in firewalls configurations and troubleshooting. A good understanding of penetration testing- system administration- and operating systems (MCSA and Linux). Good Knowledge about Endpoint security. Experience 0 – 2 years. Place : Alexandria.   ,Entry Level (Junior Level / Fresh Grad),0 To 2 Years,1,2023-10-30 16:14:00,Mahta Alraml,Alexandria
El Banna Group Company,IT Senior system admin- nearby to 10th of Ramadan,0,0,Bachelor'S Degree,Responsible for Install- integrate- and deploy security Applications . Implement and maintain Web Application Firewall (WAF)(Sophos)(Forti)- File Encryption- MDM and Certificate Authority (CA) and HSM solutions. Managing Servers- ESXI- VM- security applications- EDR and tools . Upgrade and patch the applications with the latest. Responsible for vulnerability in the security applications . Monitory and managing the security and audit logs. Regularly perform security checks and troubleshooting . Perform regular audits and provide reports. Communicate with vendors directly during the implementation process- progress- completion patching- update- and upgrade for security applications . Stay up to date with latest security technology and trends . Suggest and implement solutions for Security improvement .  ,Experienced (Non-Manager),7 To 10 Years,2,2023-10-30 16:15:00,10th of Ramadan City,Sharqia
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Drafter,0,0,Not Specified,About e.construct e.construct is an engineering firm that specializes in providing elegant engineering solutions for complex challenges. e.construct is a fast-growing firm with 7 offices around the world. At our core- we question how the very nature of how to evolve the structures that we inhabit to increase their performance and value.  Our work is driven by exceptional engineers from diverse disciplines working collaboratively in a truly holistic design process which generates high-performing systems. e.construct designs structures such as bridges- high-rise design- commercial facilities design- precast concrete engineering- and post-tensioning design. We are a multi-disciplinary engineering design firm with specialized design and value engineering services.  The firm's core work is holistic at its approach- and it has divisions in structural- MEP- Geotechnical- and emerging construction technology such as 3D printing of concrete- technology- and 3D laser scanning. Job Summary We are looking for a Drafter to work with our team Engineers and convert designs into technical plans. Drafter responsibilities include gathering drawings and specifications- calculating material and equipment requirements- and setting up production methods. If you have hands-on experience with Revit and are familiar with building processes- we’d like to meet you.  Responsibilities:  Utilize Revit to produce drafting- detailing- and shop drawing such as sheets for plotting- 3D modeling of equipment- and basic templates. Create detailed designs with CAD software. Work with project manager and team leader to reduce the cost of installation through efficient layout and acceptable changes to contract drawings.  Liaise with Engineers to gather product and structural requirements and designs. Maintain structural BIM / CAD files for use in the structural design drawings (clean-up- audit- reference- troubleshoot). Monitor the work progress- anticipates changes or issues and informs the appropriate party. Maintain revision control on drawings and adopt company standards in maintaining an organized filling system. Work with other BIM technicians to understand project BIM setup. Assist in the development of departmental drafting and Revit standards.   Requirements:  Up to three years of experience in the same field. Hands-on experience with computer-aided design (CAD) software. Familiarity with 3D modeling (Rivet) tools. Good mathematical skills. Very good English Language Ability to meet deadlines with a high degree of accuracy. Active Learning – Understanding the implications of new information for both current and future problem-solving and decision-making. Troubleshooting – determining causes of operating errors and deciding what to do about it. Critical Thinking – identifying the strengths and weaknesses of alternative solutions- conclusions- or approaches to problems. ,Not Specified,Not Specified,1,2023-10-29 16:15:00,,Alexandria
Confidential,PHP Developer,0,0,Not Specified,Write “clean”- well-designed code Produce detailed specifications Troubleshoot- test and maintain the core product software and databases to ensure strong optimization and functionality Contribute in all phases of the development lifecycle Follow industry best practices Develop and deploy new features to facilitate related procedures and tools if necessary,Senior Management (CEO- GM- Director- Head),2 To 5 Years,1,2023-10-29 16:15:00,Talkha,Dakahlia
Dimofinf Operations Center,Scrum Master,0,0,Bachelor'S Degree,Manage each project’s scope and timeline Coordinate sprints- retrospective meetings and daily stand-ups Coach team members in Agile frameworks Facilitate internal communication and effective collaboration Be the point of contact for external communications (e.g. from customers or stakeholders) Work with product owners to handle backlogs and new requests Resolve conflicts and remove obstacles that occur Help teams implement changes effectively Ensure deliverables are up to quality standards at the end of each sprint Guide development teams to higher scrum maturity Help build a productive environment where team members ‘own’ the product and enjoy working on it,Experienced (Non-Manager),3 To 5 Years,1,2023-10-29 16:15:00,Nasr City,Cairo
Confidential,Software Quality Control Engineer,0,0,Not Specified, Perform validation and verification testing. Write and execute proper test cases. Report bugs and follow up with development team until closure. Collaborate with internal teams and vendors to fix and improve products.,Experienced (Non-Manager),2 To 4 Years,1,2023-10-29 16:15:00,,Alexandria
MTS-IT,Back end Support,0,0,Not Specified,Handles system administration tasks at customer premises Supports development team in administration issues Provides technical solutions and escalated support for non-routine- highly complex technical issues,Experienced (Non-Manager),1 To 3 Years,2,2023-10-29 16:15:00,Maadi,Cairo
MTS-IT,Software Testing Engineer,0,0,Not Specified,Review requirements- specifications- and technical design documents to provide timely and meaningful feedback Estimate- prioritize- plan and coordinate testing activities Creating- editing- and updating test plans and test cases ensuring use of appropriate test methodology- complete test coverage Report issues through bug-tracking system Design test cases on test management tools Perform compatibility testing on the software Test in different environments including web and mobile. Identify- record- document thoroughly- and track bugs Develop and apply testing processes for new and existing products to meet client needs Identify test cases risk and priority.,Experienced (Non-Manager),0 To 2 Years,4,2023-10-29 16:15:00,Maadi,Cairo
CommuniCare Health,Maintenance Technician,0,0,Not Specified,"JOB DESCRIPTION   LOCATION   LOGIN Maintenance Technician Mount Vernon Healthcare Center DESCRIPTION Mount Vernon Healthcare Center- a member of the CommuniCare Family of Companies- is currently recruiting for a Full Time Maintenance Technician to join our team. PURPOSE/BELIEF STATEMENT:   The Maintenance Technician position exists to provide routine technical support in the environmental service of residents to assure that the highest degree of quality resident care is maintained at all times. This position must work effectively with team members in ensuring that work is accomplished in a timely- effective- well organized- and safe manner- while focusing on delivering quality resident care. The position must also manage the resources that are available to them in their job. JOB DUTIES & RESPONSIBILITIES   Make preventive maintenance rounds. Log and date all equipment checks and tests. Log and date all preventive repair and routine replacement (e.g. filter changes- part dilapidation). Perform all routine- damage- and cosmetic repairs. Perform all required outdoor maintenance and cosmetic repair. Perform all other general and/or specific maintenance required. Attend and participate in scheduled training- education classes- and orientation programs to maintain and enhance quality of care. Perform other related activities as assigned or requested. Maintain and work within established departmental- center- and corporate policies and procedures- objectives- quality improvement program- and safety- environmental- and infection control standards. QUALIFICATIONS & EXPERIENCE REQUIREMENTS   High school graduate or G. E. D. equivalent 1 - 2 years related experience HVAC certification required. Benefits   As a CommuniCare employee you will enjoy competitive wages and PTO plans. We offer full time employees a menu of benefit options from life and disability plans to medical- dental- and vision coverage from quality benefit carriers. We also offer 401(k) with employer match and Flexible Spending Accounts. A family-owned company- we have grown to become one of the nation’s largest providers of post-acute care- which includes skilled nursing rehabilitation centers- long-term care centers- assisted living communities- independent rehabilitation centers- and long-term acute care hospitals (LTACH). Since 1984- we have provided superior- comprehensive management services for the development and management of adult living communities. We have a single job description at CommuniCare- ""to reach out with our hearts and touch the hearts of others."" Through this effort we create ""Caring Communities"" where staff- residents- clients- and family members care for and about one another. LOCATION 8111 Tis Well Drive- Alexandria- Virginia 22306- United States of America To navigate- press the arrow keys.",Not Specified,Not Specified,1,2023-10-29 16:15:00,,Alexandria
Optasia,QA Engineer- Fintech,0,0,Not Specified,Optasia is a fully-integrated B2B2X financial technology platform covering scoring- financial decisioning- disbursement & collection. We provide a versatile AI Platform powering financial inclusion- delivering responsible financing decision-making and driving a superior business model & strong customer experience with presence in 30 Countries anchored by 7 Regional Offices. We are seeking for enthusiastic professionals- with energy- who are results driven and have can-do attitude- who want to be part of a team of likeminded individuals who are delivering solutions in an innovative and exciting environment. As member of the Quality Assurance Engineering team in Optasia- you will work closely with all members of the software development team to validate products- verify any defect resolutions and record defects and report on test results- while actively identifying any major risks to the success of the project. Your input will be key in interpreting and implementing quality assurance standards and your expertise will be used in reviewing requirements- specifications and technical design documents- to provide timely and meaningful feedback that will ensure the successful completion of each project. What you will do Review requirements- specifications and technical design documents to provide timely and meaningful feedback. Interpret and implement quality assurance standards. Create detailed- comprehensive and well-structured test plans and test cases. Execute manual and automated test cases. Identify- record- document thoroughly and track bugs. Analyze data to identify areas for improvement in the quality system. Perform thorough regression testing when bugs are resolved. Automate test cases and procedures. Support User Acceptance Testing with Client Improve/add procedures for most efficient testing of the products. Work close to Project Delivery and Key Account Managers in order to deliver product in best quality on time. Align with Client in order to support and investigate/identify any unexpected behavior on live environment.  ,Experienced (Non-Manager),3 To 7 Years,1,2023-10-29 16:15:00,,Cairo
Octane solutions,Senior Devops Engineer,0,0,Not Specified,· Debug platform failures while working with the business on incident response; · Participating in maintenance events and on-call rotation; · Help drive the organization towards continuous delivery; · Build tools to increase the velocity of our engineering teams; · Assist in configuration of integrated tools and user management; · Augment our stack for deploying our cloud based infrastructure; · Keeping systems patched and up to date; · Help ensure that in the event of catastrophic failure we can recover; · Work with engineering teams to increase the operational stability of the platform.,Experienced (Non-Manager),5 To 7 Years,1,2023-10-29 16:15:00,,Cairo
Optasia,Software Engineer - Backend- Fintech,0,0,Not Specified,Optasia is a fully-integrated B2B2X financial technology platform covering scoring- financial decisioning- disbursement & collection. We provide a versatile AI Platform powering financial inclusion- delivering responsible financing decision-making and driving a superior business model & strong customer experience with presence in 30 Countries anchored by 7 Regional Offices. We are seeking for enthusiastic professionals- with energy- who are results driven and have can-do attitude- who want to be part of a team of likeminded individuals who are delivering solutions in an innovative and exciting environment. As a Java Backend Developer in Optasia- you will be responsible for designing- coding- analyzing- debugging Java (EE) technologies. What you will do Design- code- test- analyze- evaluate- debug and document application programs in Java (EE) technologies Design and implement processes- workflow- and data models according to the requirements Provide assistance in the creation of the system design and functional specifications Identify and apply appropriate modern technologies and techniques for software development Maintain and enhance existing code and database schemas Closely collaborate with other teams while assisting in evolving the company's product Maintain systems by monitoring and correcting software defects Develop existing programs by analyzing and identifying areas for modification  ,Experienced (Non-Manager),3 To 6 Years,1,2023-10-29 16:15:00,,Cairo
FlairsTech,Senior Jasper Developer/Admin,0,0,Not Specified, Will automate forms accurately on jasper. Building dynamic jasper structures (Tables and Pivots). creating jasper charts. Working with SQL  ,Experienced (Non-Manager),More Than 5 Years,1,2023-10-29 16:15:00,Maadi,Cairo
