SectorName,CompanyName
Management Consulting,Azdan Business Analytics
Computer Software,BI-Technologies
Information Technology Services,Perfect Presentation
Computer Software,Trufla
Insurance,Trufla
Construction - Industrial Facilities and Infrastructure,Samcrete Engineers & contractors
Construction - Residential & Commercial/Office,Samcrete Engineers & contractors
Engineering Services,Samcrete Engineers & contractors
Marketing and Advertising,Osolutions
Marketing and Advertising,Victory Link
Marketing and Advertising,Netcompay- Intrasoft
Information Technology Services,CrossWorkers
Information Technology Services,CyberX
Information Technology Services,World Food Program - Other locations
Computer Software,Expert Apps
Information Technology Services,Expert Apps
Consulting Services,FinBi Finance & Banking Consultants International
Computer Software,Our Education
Hospitality/Hotels,Our Education
Education,Our Education
Construction - Residential & Commercial/Office,Aswaq
Information Technology Services,Nahr Development
Information Technology Services,EGID company
Financial Services,EGID company
Other - Not Classified,Al-Meshka
Marketing and Advertising,waffarha.com
Financial Services,waffarha.com
Computer Software,TREX
Information Technology Services,TREX
Financial Services,TREX
Computer Software,BSmart
Human Resources,BSmart
Computer Software,eT3 - Tomorrow Information Technology
Business Services - Other,AK IT Consulting
Computer Software,AK IT Consulting
Higher Education,Nile University
Computer Software,Dexef
Information Technology Services,Dexef
Education,Casita
Travel and Tourism,Casita
Computer Software,Noases
Information Technology Services,Noases
Computer Software,FinTech Collective
Information Technology Services,FinTech Collective
Computer Software,Antal International - Egypt
Information Technology Services,Antal International - Egypt
Apparel and Fashion,Tie House
Textile and Clothing,Tie House
Retail,Tie House
Computer Software,Edentech
Education,IQRA Network
E-Learning,IQRA Network
Engineering Services,Engosoft
Engineering Services,CRE Venture Capital
Engineering Services,Oracle - Egypt
Human Resources,Elev8Assessments
Other - Not Classified,Carpet Land
Computer Software,GET Group- Egypt
Security and Surveillance,GET Group- Egypt
Computer Software,Charisma Design
Business Services - Other,LABS
Business Services - Other,DXC.technology
Manufacturing,Decorative Glass And Arab Union Glass Group
Other - Not Classified,IST Networks
Business Services - Other,Anzma tech
Information Technology Services,Superior Business Solutions
Computer and Network Security,DX Republic
Computer Software,DX Republic
Information Technology Services,DX Republic
Healthcare and Medical Services,As-Salam International Hospital
Information Technology Services,Dynamicslink
Marketing and Advertising,Centione
Marketing and Advertising,Finiex Soft
Computer Software,Finiex Soft
Information Technology Services,Finiex Soft
Computer Software,ITS
Real Estate/Property Management,Dorra Group
Outsourcing/Offshoring,Outservingplus
Internet/E-commerce,Jumia
Retail,Jumia
Internet/E-commerce,"White House Nannies, Inc."
Retail,"White House Nannies, Inc."
Information Technology Services,Qsource
Outsourcing/Offshoring,Qsource
Education,MICA
Training and Coaching,MICA
Sports,Kode Clubs - Hassan Allam Sports Clubs
Biotechnology,HITS Solutions
Computer Software,HITS Solutions
Research,HITS Solutions
Marketing and Advertising,9H Capital
Transportation,Alouf Travel
Travel and Tourism,Alouf Travel
Computer Software,InnovaDigits
Consulting Services,InnovaDigits
Human Resources,Rawaj-HCM
Training and Coaching,Rawaj-HCM
Recruitment and Staffing,Rawaj-HCM
Information Technology Services,DIRAC SYSTEMS
Retail,Ahmed El-Sallab
Retail,Nahdetmisr For Environmental services
Travel and Tourism,shaheen communication data systems
Computer Hardware,Global Brands
Computer Networking,Global Brands
Information Technology Services,Global Brands
Real Estate/Property Management,Enwan Developments
Marketing and Advertising,Dafa
Computer Software,Dafa
Information Technology Services,Dafa
Construction - Residential & Commercial/Office,Mazar construction
Information Technology Services,Viavi Solutions
Information Technology Services,TRIMETIS
Information Technology Services,Exacall
Information Technology Services,"Honeywell International, Inc."
Business Services - Other,Pure Group
Higher Education,EELU
Education,EELU
Training and Coaching,EELU
Logistics and Supply Chain,Logistica
Warehousing,Logistica
Information Technology Services,Estafsar
Insurance,Estafsar
Retail,Xceed Contact Center
Telecommunications,Xceed Contact Center
Telecommunications,Etisalat Egypt
Construction - Residential & Commercial/Office,United Group For Engineering And Investment
Engineering Services,United Group For Engineering And Investment
Environmental Services,United Group For Engineering And Investment
Computer Software,Ultimate Academy
Computer Software,ثقة الانجاز
Legal Services,ثقة الانجاز
Manufacturing,El-Sewedy Electrometer
Computer Software,Softec Technologies
Information Technology Services,Softec Technologies
Computer Software,qTech.
Information Technology Services,AGG information technology
Computer Networking,Art Link
Publishing and Printing,Art Link
Education,El Sewedy Education - The Knowledge Hub Universities
Education,El Alsson British & American International School
Education,Schneider Electric - Egypt
Financial Services,Premium Card
Business Services - Other,Infotech
Market Research,Infotech
Research,Infotech
Information Technology Services,Roaya
Food and Beverage Production,Lychee Fruit Bar
Apparel and Fashion,Mazaya
Retail,Mazaya
Information Technology Services,GS - GEO Solutions
Information Technology Services,hyperone
Computer Software,TTC Technologies
Manufacturing,TTC Technologies
Research,TTC Technologies
Computer and Network Security,Injaz Tech for advanced systems
Computer Software,Injaz Tech for advanced systems
Information Technology Services,Injaz Tech for advanced systems
Automotive,SE Wiring Systems EGYPT
Information Technology Services,ElMotaheda Web
Internet/E-commerce,ElMotaheda Web
Information Technology Services,Johnson & Johnson
Internet/E-commerce,Johnson & Johnson
Information Technology Services,Cryptostart
Internet/E-commerce,Cryptostart
Information Technology Services,Egabi FSI
Security and Surveillance,SMARTTEL
Telecommunications,SMARTTEL
FMCG,Rashideen Egypt for Trade
Computer Software,intrazero
Engineering Services,TEPCO S.A.E.
Manufacturing,"TEPCO S.A.E.
"
Computer Software,Expleo
Information Technology Services,Expleo
Engineering Services,EAST
FMCG,Smartverse
Retail,Smartverse
Information Technology Services,LxT
Computer Software,Basata
Information Technology Services,Basata
Computer Software,Azm development
Information Technology Services,Azm development
Computer Software,OdooTec
Information Technology Services,OdooTec
Consulting Services,OdooTec
Automotive,GLOBAL AUTO
Manufacturing,GLOBAL AUTO
Information Technology Services,Holix
Telecommunications,Telegeeks LLC
Electronics and Semiconductors,Midea Group
Electronics and Semiconductors,Zeal Capital Market (Seychelles) Limited
Electronics and Semiconductors,PILLARS CONSULTANCY & RECRUITMENT
Marketing and Advertising,AFFSQUARE
Information Technology Services,SURE International Technology
Agriculture/Fishing/Farming,Egast
Information Technology Services,Aliaict
Computer Software,Arabian Advanced Systems
Information Technology Services,Arabian Advanced Systems
Information Technology Services,Network International -Egypt
Financial Services,Network International -Egypt
Internet/E-commerce,Network International -Egypt
Automotive,Samaya Electronics Egypt LTD
Construction - Industrial Facilities and Infrastructure,EEC Group
Information Technology Services,Kian Alraqmih
Internet/E-commerce,acwme
Internet/E-commerce,Four Seasons Hotels and Resorts
Internet/E-commerce,Kuehne & Nagel Logistics
Computer Software,eBSEG
Information Technology Services,eBSEG
Automotive,Kasrawy Group
Oil and Gas,Measuresoft oil and gas Services
Higher Education,Global Academic Foundation Hosting University of Hertfordshire UH
Information Technology Services,IT Pillars
Human Resources,Pillars
Recruitment and Staffing,Pillars
Human Resources,Khatib & Alami
Recruitment and Staffing,Khatib & Alami
Human Resources,Numrah
Recruitment and Staffing,Numrah
"Health, Wellness and Fitness",Nature's Rule Egypt LLC
Sports,Nature's Rule Egypt LLC
Financial Services,Statements for Consulting
Computer Software,Ultimate Solutions Egypt
Information Technology Services,Ultimate Solutions Egypt
Construction - Residential & Commercial/Office,Elhazek Construction
Computer Software,Kick Start Interactive
Computer Software,INNOVA SOFT
Engineering Services,INNOVA SOFT
Computer Software,Nerva
Information Technology Services,Nerva
Management Consulting,Nerva
Automotive,Auto Tager
Consumer Services,Auto Tager
Financial Services,Erada
Financial Services,WorldFish
Computer Software,WUZZUF
Information Technology Services,WUZZUF
Human Resources,WUZZUF
Textile and Clothing,Shatta
Textile and Clothing,"Nile Bits, LLC."
Marketing and Advertising,Intercept Technologies
Internet/E-commerce,Intercept Technologies
Photography,Intercept Technologies
Automotive,Nour Eldin Elsherif for Trading vehicles
Retail,Nour Eldin Elsherif for Trading vehicles
Insurance,Tokio Marine Egypt General
Financial Services,Fawry for Banking Technology and Electronic Payments S.A.E
Computer Software,Mass Technology
Information Technology Services,Youxel
Construction - Industrial Facilities and Infrastructure,365 Ecology
Construction - Residential & Commercial/Office,365 Ecology
Engineering Services,365 Ecology
Information Technology Services,Amasi
Management Consulting,2CooM
Information Technology Services,Bypa-ss
Healthcare and Medical Services,Bypa-ss
Food and Beverage Production,Cilantro
Food Services/Restaurants/Catering,Cilantro
Education,(MSA) October University
Marketing and Advertising,Gamers Lounge
Computer Games,Gamers Lounge
Entertainment,Gamers Lounge
Computer Software,Deal
Internet/E-commerce,Deal
Real Estate/Property Management,Deal
Marketing and Advertising,SevenCodeApps
Computer Software,SevenCodeApps
Information Technology Services,SevenCodeApps
Real Estate/Property Management,Ali Alkhajeh Development
Banking,CARITech
Computer Software,CARITech
Information Technology Services,CARITech
Manufacturing,Smart Glass Company
Computer Software,BBI-Consultancy
Information Technology Services,BBI-Consultancy
Information Technology Services,IKEN Technology
Computer Software,Ofoq Consulting
Information Technology Services,Ofoq Consulting
Consulting Services,Ofoq Consulting
Manufacturing,Kiromarble for marble and granite
Venture Capital and Private Equity,Golden Gates
Consulting Services,Golden Gates
Automotive,YELO
Information Technology Services,Klik
Computer Software,scandiweb
Information Technology Services,scandiweb
Internet/E-commerce,scandiweb
Healthcare and Medical Services,sios
Law Enforcement,Yassien & Partners Law Firm
Legal Services,Yassien & Partners Law Firm
Computer Software,intella
Information Technology Services,intella
Market Research,intella
Construction - Industrial Facilities and Infrastructure,Deutschland Technology Limited
Computer Software,Spatium Software
Information Technology Services,Spatium Software
Travel and Tourism,Safa International Travel
Construction - Residential & Commercial/Office,Alkarma Developments
Real Estate/Property Management,Alkarma Developments
Manufacturing,MCV
Computer Software,Eg Insurtech
Information Technology Services,Furqan Group for Education & IT
Education,Furqan Group for Education & IT
E-Learning,Furqan Group for Education & IT
Computer Software,Crevisoft Corporation
Information Technology Services,Crevisoft Corporation
Internet/E-commerce,Crevisoft Corporation
Financial Services,Sulfah
Internet/E-commerce,Sulfah
Food and Beverage Production,Egypt Bakery Stores
Information Technology Services,Target Integrated Systems
Business Services - Other,Enegix
Information Technology Services,Enegix
Transportation,Alstom
Consumer Electronics,RUSHBRUSH INC
Internet/E-commerce,RUSHBRUSH INC
Computer Software,Procoor
Electronics and Semiconductors,Procoor
Engineering Services,Procoor
Financial Services,NCR
Engineering Services,Promech Engineering
Business Services - Other,Forasna
Human Resources,Forasna
Apparel and Fashion,Nile Projects & Trading
Automotive,Nile Projects & Trading
Information Technology Services,InitRes
Education,GEMS Education
Retail,Seoudi Supermarket
Education,Ethos International School
Information Technology Services,Glamera
"Health, Wellness and Fitness",Glamera
Personal Care and Services,Glamera
Information Technology Services,Tech 101
"Health, Wellness and Fitness",Tech 101
Personal Care and Services,Tech 101
Manufacturing,etisal for advanced industries
Computer and Network Security,iNetwork Solutions
Computer Networking,iNetwork Solutions
Information Technology Services,iNetwork Solutions
Construction - Industrial Facilities and Infrastructure,alfanar
Energy and Utilities,alfanar
Management Consulting,alfanar
Apparel and Fashion,Town Team
Retail,Town Team
Internet/E-commerce,Signature Technology DMCC
Engineering Services,Tartoussieh Engineering & Trading Co
Media Production,Mercury Visual Solutions
Business Services - Other,"The Micro, Small & Medium Enterprise Development Agency"
Financial Services,"The Micro, Small & Medium Enterprise Development Agency"
Non-Profit Organizations,"The Micro, Small & Medium Enterprise Development Agency"
Engineering Services,TechAdemics
Education,TechAdemics
Real Estate/Property Management,Upwyde
Recruitment and Staffing,Premier Services and Recruitment Overseas
Computer Software,Queen Tech Solutions
Information Technology Services,Queen Tech Solutions
Real Estate/Property Management,Mazloum Real Estate
Information Technology Services,Advanced Solutions
Education,engineering tracks
Training and Coaching,engineering tracks
Computer Software,PSH
Consulting Services,PSH
Information Technology Services,Techno Management
Import and Export,El Khamis Hydraulic Company
Marketing and Advertising,Delivery-tech
Information Technology Services,Delivery-tech
Chemicals,Orient
Computer and Network Security,Vzadi.com
Computer Games,Bright Vision
Computer Software,Bright Vision
Agriculture/Fishing/Farming,El Teriak Industrial Group
Automotive,El Teriak Industrial Group
Manufacturing,El Teriak Industrial Group
Agriculture/Fishing/Farming,iono tech
Automotive,iono tech
Manufacturing,iono tech
Internet/E-commerce,Khodar.com
Retail,Khodar.com
Construction - Industrial Facilities and Infrastructure,Zamil Steel Buildings Co
Mining and Metals,Zamil Steel Buildings Co
Computer Software,Spark Systems
Information Technology Services,Spark Systems
Internet/E-commerce,Spark Systems
Information Technology Services,LINK Development
Computer Software,LoadServ
Business Supplies and Equipment,Zawaya
Engineering Services,Zawaya
Automotive,Afaqy
Computer Software,Afaqy
Information Technology Services,Afaqy
Outsourcing/Offshoring,Sequel Solutions
Computer Games,2oolAmeme
Entertainment,2oolAmeme
Internet/E-commerce,2oolAmeme
Accounting and Auditing Services,Mc Ledger
Information Technology Services,Mc Ledger
Manufacturing,Sierra Engineering & Manufacturing
Logistics and Supply Chain,Ibn Sina Pharma
Pharmaceuticals,Ibn Sina Pharma
Real Estate/Property Management,Dubai Egypt Sweden
Information Technology Services,TA telecom
Telecommunications,TA telecom
Healthcare and Medical Services,Al Ahly Medical Company
Insurance,Al Ahly Medical Company
Airlines/Aviation,Air Arabia
Computer Software,TensorGraph
Construction - Industrial Facilities and Infrastructure,Mantrac
Retail,Mantrac
Banking,Al Amin Technological Systems
Investment Banking,Al Amin Technological Systems
Banking,Dataline technology company
Investment Banking,Dataline technology company
Outsourcing/Offshoring,Options
Information Technology Services,Softxpert Incorporation
Paper and Forest Products,INTERPAC
Information Technology Services,Kashier Payment Solutions
Financial Services,Kashier Payment Solutions
Internet/E-commerce,e Aswaaq Misr
Information Technology Services,Smartly
Computer Software,Mimocodes
Information Technology Services,Mimocodes
Graphic Design,Mimocodes
Agriculture/Fishing/Farming,PICO
Computer Software,Arabian Systems
Translation and Localization,"Do Localize, Ltd."
Computer Software,A1Softech
Information Technology Services,A1Softech
Computer Software,CompactSoft International
Information Technology Services,CompactSoft International
"Health, Wellness and Fitness",Health Insights Group
Real Estate/Property Management,New Plan
Education,British University of Egypt
Computer Software,Alexandria For Programming
Information Technology Services,Alexandria For Programming
Real Estate/Property Management,Roya Developments
Healthcare and Medical Services,Shifa Egypt
Computer Networking,Silicon21
Information Technology Services,Silicon21
Banking,Masria Digital Payment (MDP)
Information Technology Services,Masria Digital Payment (MDP)
Manufacturing,Masria Digital Payment (MDP)
Education,Edu-Zone
Marketing and Advertising,Puzzle
Business Services - Other,Puzzle
Information Technology Services,Puzzle
Travel and Tourism,Guestna
Retail,Aman
Retail,TRAUXIT
FMCG,Kellogg Tolaram Noodles Egypt LLC
Engineering Services,Johnson Controls
Financial Services,Khales
Marketing and Advertising,Marketopia
Media Production,Marketopia
Real Estate/Property Management,Naia Developments
Manufacturing,INDEVCO
Manufacturing,Capleo Globle
Computer Software,EDRAK Software
Other - Not Classified,Transmar International
Other - Not Classified,Interactive Limited/Carma Group
Construction - Industrial Facilities and Infrastructure,SHAWAHID ROADS INDUSTRIAL COMPANY
Automotive,Sprints.ai
Computer Software,Sprints.ai
Education,Sprints.ai
Engineering Services,Melco-Mec Egypt for Elevators & Escalators - Mitsubishi
Construction - Industrial Facilities and Infrastructure,Shotmed
Marine Manufacturing & Services,EFS
Recreational Facilities and Services,EFS
Computer Software,"Izam, inc."
Information Technology Services,Objects
Other - Not Classified,Royal Investment
Marketing and Advertising,COREations
Information Technology Services,COREations
Computer Software,EpsilonAI
Training and Coaching,EpsilonAI
Higher Education,Universities of Canada in Egypt
Manufacturing,El Mohandess Print House
Publishing and Printing,El Mohandess Print House
Information Technology Services,Impactyn
Business Services - Other,Fintech solutions
Information Technology Services,Fintech solutions
Financial Services,Fintech solutions
Marketing and Advertising,Elkenany Group
Agriculture/Fishing/Farming,Elkenany Group
Veterinary,Elkenany Group
Chemicals,FRIDAL
FMCG,FRIDAL
Broadcasting and Film,Arlation Media Services
Media Production,Arlation Media Services
Translation and Localization,Arlation Media Services
Construction - Industrial Facilities and Infrastructure,TIC
Computer Software,Rednet It Services
Information Technology Services,Rednet It Services
Marketing and Advertising,Moltaqa
Computer Software,Moltaqa
Information Technology Services,Moltaqa
Information Technology Services,Konnekt Union
FMCG,Jaffangroup
Food and Beverage Production,Jaffangroup
Real Estate/Property Management,altameerarabian
Computer Software,Integrated Technology Group
Outsourcing/Offshoring,iSON Xperiences Egypt
Other - Not Classified,Order King
Marketing and Advertising,Finding From Egy
Agriculture/Fishing/Farming,Finding From Egy
Food and Beverage Production,Finding From Egy
Engineering Services,TMA For Industrial Supplies
Information Technology Services,Ether Technology
Computer Software,Egyptian Integration
Computer Software,ACML - Egypt
Information Technology Services,appcorp
Telecommunications,appcorp
Pharmaceuticals,Parkville Pharmaceuticals
Information Technology Services,Dolf
Architectural and Design Services,Lecon
Engineering Services,Lecon
Computer Software,RTR Software Solutions
Information Technology Services,RTR Software Solutions
Consumer Services,Sky Distribution
Logistics and Supply Chain,Sky Distribution
Retail,Sky Distribution
Internet/E-commerce,InstaShop
Import and Export,Elfostat Company for import and export
Engineering Services,شركه طنطا موتورز
Manufacturing,شركه طنطا موتورز
Wholesale Trade,شركه طنطا موتورز
"Health, Wellness and Fitness",Max Muscle
Healthcare and Medical Services,Max Muscle
Retail,Max Muscle
"Health, Wellness and Fitness",eGate Egypt
Healthcare and Medical Services,eGate Egypt
Retail,eGate Egypt
Outsourcing/Offshoring,Majorel Egypt
Accounting and Auditing Services,Fawry Microfinance
Marketing and Advertising,cCc callcenter and Digital Marketing
Outsourcing/Offshoring,cCc callcenter and Digital Marketing
Marketing and Advertising,CTO for startups
Outsourcing/Offshoring,CTO for startups
Food and Beverage Production,Economic Group
Human Resources,Economic Group
Marketing and Advertising,Solutions
Telecommunications,Intelcia
Computer Software,Ascon Advanced Solutions & Consultant
Information Technology Services,Ascon Advanced Solutions & Consultant
Marketing and Advertising,The Portal
Computer Software,The Portal
Internet/E-commerce,The Portal
Computer Software,شيلتر تكنولوجي
Information Technology Services,شيلتر تكنولوجي
Computer Software,Sinmar Soft
Marketing and Advertising,Peerless
Computer Software,Peerless
Information Technology Services,Peerless
Computer Software,Quick Services
Information Technology Services,Quick Services
Logistics and Supply Chain,Post Distribution Company
Recruitment and Staffing,Post Distribution Company
Construction - Industrial Facilities and Infrastructure,Alumil
Education,Balanced Education Company
Training and Coaching,Balanced Education Company
Education,Delta American School
Marketing and Advertising,Shahbandr
Computer Software,Shahbandr
Retail,Shahbandr
Travel and Tourism,Sweet Memory travel
Translation and Localization,Loc-Camp
Management Consulting,BRISK Business Inc.
Training and Coaching,BRISK Business Inc.
Construction - Residential & Commercial/Office,ORGANI GROUP
Import and Export,ORGANI GROUP
Real Estate/Property Management,ORGANI GROUP
Insurance,Mohandes Life Insurance
Financial Services,Seena - سينا
Financial Services,Egypt University of Informatics (EUI)
Manufacturing,Rubyred Garment
Information Technology Services,ZINAD IT
Accounting and Auditing Services,Crowe Egypt - Dr Khaled Abdelaziz Hegazy
Financial Services,Crowe Egypt - Dr Khaled Abdelaziz Hegazy
Consulting Services,Crowe Egypt - Dr Khaled Abdelaziz Hegazy
Information Technology Services,Shebak
Information Technology Services,Swakli Digital Events
Education,Windrose Academy
Higher Education,British Council
Education,British Council
Training and Coaching,British Council
Information Technology Services,Multi Level Group (MLG)
Information Technology Services,Hayati SRL
Cosmetics,EVA Cosmetics
Construction - Industrial Facilities and Infrastructure,Al Rabat
Construction - Residential & Commercial/Office,Al Rabat
Real Estate/Property Management,Al Rabat
Computer and Network Security,Interact Technology Solutions
Computer Software,Interact Technology Solutions
Information Technology Services,Interact Technology Solutions
Construction - Industrial Facilities and Infrastructure,DAK Steel - Construction
Computer Software,Al Soug-Cashi
Investment Banking,Egypt Kuwait Holding
Computer Software,taknia systems
Computer Software,Orange Studio
Marketing and Advertising,Waseet.net
Computer Software,Waseet.net
Retail,Waseet.net
Marketing and Advertising,GoodsMart
Computer Software,GoodsMart
Retail,"GoodsMart
"
Human Resources,Target Recruitment & HR Solutions
Financial Services,Synergy Markets
Computer Software,Micro Engineering
Energy and Utilities,Micro Engineering
Engineering Services,Micro Engineering
Recruitment and Staffing,Horizon
Marketing and Advertising,Indegree
Computer Software,Indegree
Information Technology Services,Indegree
Healthcare and Medical Services,Hands of Hope Physical Therapy & Wellness
Marketing and Advertising,Ulemt
Banking,Ulemt
Financial Services,Ulemt
Information Technology Services,Data Science
FMCG,Elabd Foods
Food and Beverage Production,Elabd Foods
Construction - Residential & Commercial/Office,AL MASHARIQ
Energy and Utilities,AL MASHARIQ
Education,Elite Education Group
Information Technology Services,Thaka International
Real Estate/Property Management,Talaat Moustafa Group
Retail,Talaat Moustafa Group
Cosmetics,Bluebell Pharmaceuticals
Pharmaceuticals,Bluebell Pharmaceuticals
Healthcare and Medical Services,Grifols Egypt for Plasma Derivatives
Pharmaceuticals,Grifols Egypt for Plasma Derivatives
Information Technology Services,StudentGator
Education,StudentGator
Computer Software,Coral Technology
Publishing and Printing,GPS
Internet/E-commerce,INTERNET SOLUTIONS
Travel and Tourism,VFS Global Egypt
Information Technology Services,National Technology
Education,Selah ElTelmeez For Publishing & printing
Publishing and Printing,Selah ElTelmeez For Publishing & printing
E-Learning,Selah ElTelmeez For Publishing & printing
Outsourcing/Offshoring,Webhelp
Recruitment and Staffing,Webhelp
Computer Software,Selftreat
Human Resources,Human Quality
Computer and Network Security,Itechs
Computer Software,Itechs
Information Technology Services,Itechs
Financial Services,Aman Holding
Healthcare and Medical Services,Aman Holding
Retail,Aman Holding
